questions,answers
can I request an invoice?,"Please go to your confirmation email or the confirmation page and click 'Request an invoice'. Complete the form and submit your request. If you don’t see the link, please raise this as a technical issue for assistance.  You'll get your invoice after check-out. This email will come from Travelmania or a partner company."
"I've been incorrectly charged, what can I do?",If Travelmania charged you incorrectly: Please raise this as a technical issue. We'll likely need a copy of your bank statement showing the incorrect charges as well as your booking confirmation number. If the property charged you incorrectly: Please reach out to the property directly for help.
where can I confirm I've paid for my booking?,You’ll find your payment confirmation in your confirmation email. From the email there is also an option to download a payment confirmation PDF.
where can I see the payment policy for my booking?,"Travelmania will charge your card for the total price of the booking when you book. If you are looking for more information about your payment, please check your confirmation email."
I’ve been charged. Do I need to do anything?,"No, you don’t need to do anything. We charged you for the price of the booking. If there are additional taxes or charges this information should be displayed on the property page."
Will I need to pay anything additional upon arrival?,"Sometimes, you are expected to pay taxes and charges upon arrival. If this is the case, the amount is stated before you book and in your confirmation email. If no amount is stated, you should not pay anything upon arrival. If the property requests money from you and you believe this is incorrect, please raise this as a complaint for further support."
How do I add my booking to my account?,Unfortunately it's not possible to add this booking to your account. We're working on a way to make this possible in the future.
Are meals included in my booking?,Your confirmation email will list if any meals are included or not included. Depending on the property it may be possible to add a meal plan upon arrival. Please contact the property directly 1-2 days before your stay to find out more.
"Upon arrival, the room/accommodation I was given did not match what I booked. What should I do?","Please raise this as technical issue. You'll likely need to send our technical support team a screenshot of the mismatched information and if you had to pay any extra fees, a receipt as proof of payment."
"My booking has been cancelled, when will I be refunded?","If your booking has been cancelled, Travelmania refunds you immediately. The processing time may take 7 to 10 days and depends on your bank. If you have questions, contact your bank directly."
Can I cancel my booking?,"If your booking is non-refundable you cannot cancel. If your booking is free cancellation or partially refundable, check your confirmation email or confirmation page in the Bookings section of your account for the cancellation costs."
Can I make changes to my booking?,"It depends on the policy of the booking you have made, if it's allowing that or not."
Why was my booking cancelled or declined?,"Because this booking is facilitated by a partner company, the property may be overbooked. If that's the case, the partner notifies us. Next, we refund you and cancel your booking. The processing time may take 7 to 10 days and depends on your bank. If you have questions, contact your bank directly."
"If I need to cancel my booking, will I pay a fee?","If your booking is non-refundable, you cannot cancel or make changes. If your booking is free cancellation or partially refundable, check your confirmation email or confirmation page in the Bookings section of your account for the cancellation costs."
How do I know if my booking was cancelled?,"After you cancel a booking with us, you should receive an email to confirm the cancellation. Check your inbox and spam/junk mail folders. If you’ve received an email from Travelmania cancelling your booking, your booking has been cancelled and we’ve refunded you. The processing time depends on your bank. If you have questions, contact your bank directly."
Where can I find the cancellation policy?,You can find this in your booking confirmation email. Also stated while you are making the booking.
I’ve paid for my booking but I haven’t received an email to confirm. What should I do?,"You'll get a confirmation email once your booking is confirmed. This should only take about two minutes but sometimes can take longer. Please check your spam/junk mail folders for this email, it may be there by mistake. If you still haven't received any emails, raise this to our technical team through the main list."
Can you resend my confirmation email?,"We always resend your confirmation email a few days before check-in. If you have a Travelmania account, you can also find your confirmation under the Bookings section in your account. If you still need us to resend your confirmation email please raise this to our technical team through the main list."
Why and how long do I need to wait for my booking to be confirmed?,We'll need to check with our partner company to make sure your selection is still available. We do our best to let you know within two minutes via email. Please check your spam/junk mail folders in case this email is there by mistake.
"My booking is still not confirmed, what should I do?","You’ll get an email to let you know if your booking is confirmed within several minutes. Please check your inbox and spam/junk mail folders for this email. If you still cannot find the email, please raise this to our technical team through the main list."
How can I request an extra service from the property?,"If you’d like to request an extra service like an extra bed, early check-in or transportation to the property, please contact the property directly 1-2 days before arrival. There is no guarantee, but they may be able to help."
How can I request an early or late check-in or check-out?,"If you’d like to request an early or late check-in or check-out, please contact the property directly 1-2 days before arrival. There is no guarantee, but they may be able to help."
How do I get more information about property’s facilities?,Click the property name on the confirmation page to visit the property page. You'll see a complete list of property facilities there.
Can I change the guest name for this booking?,It’s not possible to change any personal details like the guest name or email address.
Can I get extra beds/cots for child(ren)?,"It depends on the property’s policy. Typically, additional costs for children (including extra beds/cots) are not included in the price. Please contact the property directly 1-2 days before your stay to find out more."
"I cannot find my booking in my account, what should I do?","If you were signed in when you made your booking, the booking should appear in the Bookings section of your account. If you were not signed in when you made your booking, the booking will not appear and you cannot add this booking to your account. If you don’t have an account or you were not signed in when you made your booking, please check your email for your confirmation email."
How do I add my booking to my account?,Unfortunately it's not possible to add this booking to your account. We're working on a way to make this possible in the future.
Are meals included in my booking?,Your confirmation email will list if any meals are included or not included. Depending on the property it may be possible to add a meal plan upon arrival. Please contact the property directly 1-2 days before your stay to find out more.
"Upon arrival, the room/accommodation I was given did not match what I booked. What should I do?","You'll likely need to  raise this to our technical team through the main list with a screenshot of the mismatched information and if you had to pay any extra fees, a receipt as proof of payment."
